codigo_dane,nombre_entidad,anio,poblacion_urbana,poblacion_rural,poblacion_total,pib,valor_agregado_bruto,deuda_publica,ingresos totales,ingresos corrientes,ingresos tributarios,ingresos no tributarios,gastos totales,gastos corrientes,gastos de funcionamiento,desahorro/ahorro corriente,ingresos de capital,regalías,gastos de capital,déficit o superávit total,icm,pcc,gpi,eis,cti,seg,sos,longitud,latitud
81,ARAUCA,2024,180186.0,97697.0,277883.0,9209354822332.434,8984697829651.398,,517050000000.0,93143000000.0,46531000000.0,7339000000.0,515204000000.0,54170000000.0,54170000000.0,38973000000.0,423907000000.0,46161000000.0,461034000000.0,1846000000.0,42.5712192654523,31.28890228271484,43.58492660522461,50.98194122314453,32.52395629882812,41.16727066040039,55.88031768798828,-70967323937.0,6569577215
85,CASANARE,2018,295439.0,125072.0,420511.0,15507121773227.572,14972492256323.586,49404000000.0,430235000000.0,127848000000.0,100759000000.0,5228000000.0,646125000000.0,66675000000.0,63243000000.0,61173000000.0,302386000000.0,46371000000.0,579450000000.0,-215890000000.0,40.48201490089147,37.4535026550293,45.40968322753906,53.28331756591797,24.75369262695312,31.40284538269043,50.58904266357422,-71601880726.0,5404064237
85,CASANARE,2019,304338.0,126211.0,430549.0,16464684387055.95,15867426103580.236,,568206000000.0,144264000000.0,118591000000.0,5157000000.0,957922000000.0,68405000000.0,66925000000.0,75859000000.0,423942000000.0,166917000000.0,889517000000.0,-389716000000.0,42.70615581106618,39.7905387878418,47.27695465087891,56.72658157348633,26.50987434387207,28.36351203918457,57.5694694519043,-71601880726.0,5404064237
85,CASANARE,2020,313868.0,127642.0,441510.0,12620253399259.598,12105162447722.54,,523349000000.0,125862000000.0,99920000000.0,3336000000.0,434090000000.0,66931000000.0,66931000000.0,58932000000.0,397486000000.0,137657000000.0,367160000000.0,89258000000.0,43.9245040779624,39.89818954467773,46.74921417236328,59.09914779663086,29.25876808166504,29.88371276855469,58.65798950195312,-71601880726.0,5404064237
85,CASANARE,2021,320674.0,128704.0,449378.0,16935308891496.043,16274715844149.984,,607010000000.0,135811000000.0,104427000000.0,8661000000.0,694328000000.0,79760000000.0,79760000000.0,56051000000.0,471199000000.0,203709000000.0,614568000000.0,-87318000000.0,44.18505759074058,41.32561111450195,45.48252487182617,60.34013748168945,29.90772438049316,29.9408016204834,58.11354827880859,-71601880726.0,5404064237
85,CASANARE,2022,326367.0,129248.0,455615.0,23122323701772.027,22260183397645.79,,542977000000.0,187600000000.0,135227000000.0,29152000000.0,962924000000.0,84380000000.0,84380000000.0,103221000000.0,355377000000.0,86750000000.0,878544000000.0,-419947000000.0,46.36066894774939,40.48930740356445,46.24537658691406,66.90409851074219,37.10136032104492,31.94009590148926,55.48377990722656,-71601880726.0,5404064237
85,CASANARE,2023,331846.0,129616.0,461462.0,23082344018465.535,22181106977575.19,,1150596000000.0,240786000000.0,158428000000.0,50541000000.0,1202153000000.0,105580000000.0,105580000000.0,135206000000.0,909810000000.0,597518000000.0,1096573000000.0,-51557000000.0,47.65457077644785,40.7308235168457,47.38010406494141,66.28939056396484,38.47379684448242,31.94198608398438,61.11132049560547,-71601880726.0,5404064237
85,CASANARE,2024,337512.0,130053.0,467565.0,23585589000978.14,22637829475377.355,,1353600000000.0,231171000000.0,156752000000.0,33766000000.0,1691673000000.0,106308000000.0,106308000000.0,124863000000.0,1122428000000.0,692973000000.0,1585365000000.0,-338073000000.0,48.45702442196024,41.0067024230957,47.33920288085938,70.75238037109375,39.93280410766602,32.70378875732422,59.00726318359375,-71601880726.0,5404064237
86,PUTUMAYO,2018,174715.0,173452.0,348167.0,4033384825598.727,3897124875626.4097,,516968000000.0,67517000000.0,34026000000.0,12065000000.0,449129000000.0,51537000000.0,51537000000.0,15980000000.0,449451000000.0,133820000000.0,397592000000.0,67840000000.0,35.43459117066732,27.85496711730957,32.85240936279297,41.72594833374023,22.07829666137695,40.65359115600586,47.44233703613281,-75514061833.0,"0,3673031"
86,PUTUMAYO,2019,178468.0,176649.0,355117.0,4048877168366.7393,3898281475655.6772,,523198000000.0,74340000000.0,43140000000.0,11262000000.0,547541000000.0,57171000000.0,57171000000.0,17169000000.0,448857000000.0,96503000000.0,490369000000.0,-24343000000.0,37.1513565057877,30.03116989135742,33.6266975402832,44.57134246826172,23.25754165649414,45.63774108886719,45.78364944458008,-75514061833.0,"0,3673031"
