nombre_entidad;anio;Instituciones;Infraestructura;Adopción TIC;Sostenibilidad ambiental;Salud;Educación básica y media;Educación superior y capacitación;Entorno para los negocios;Mercado laboral;Sistema financiero;Tamaño del mercado;Sofisticación y diversificación;Innovación
ARAUCA;2019;2.9892157345445822;4.4061021181327344;1.7937088865302229;3.796577874285565;6.446733449648724;6.033160860457631;2.0501111083083567;4.556671444423911;4.049537699920139;1.5431334167364703;4.412388324980433;3.6596144252478697;0.03956222358538056
ARAUCA;2020;3.158109968983411;3.9464917264979964;1.71618951686202;3.796577874285565;6.111650748952725;5.945554489473581;1.9734185802809003;4.828699058633063;3.793207555522774;1.5633999128223586;4.144500868466379;2.6611587213750356;0.08381560331097222
ARAUCA;2021;3.3995849557521627;3.701016530643073;1.6816235691023695;3.974797787476451;6.662745090501367;6.16138864386957;2.802299534053729;4.929915730687839;2.6953804678697892;1.7939485355769533;3.7790497916100096;2.5052547224409487;0.08876793333874766
ARAUCA;2022;3.1078523848388357;3.7020880060034944;1.9832642160195102;3.7140501046094645;6.147841640417997;5.7988206681114915;3.1599856624555884;4.957046039676918;3.092395454338112;1.9910134684064231;3.7566278361272576;6.591543306001427;0.1244794611833221
ARAUCA;2023;3.5262286726890935;3.653806482165551;1.6099126560105004;2.002631215747395;5.643433665968672;5.939415472101456;3.225290339299627;4.798641096344908;4.278504047504702;2.7550475783501986;3.9478423746106084;8.490068894525182;0.14611490237184185
ARAUCA;2024;3.874103036815292;3.4228381321428842;1.8481461113662734;2.108538147776339;5.9178180487774465;6.004949810501263;3.2648225980431955;4.705789330768921;3.4563226049975606;2.829570907027523;4.0385704193703535;6.298344253558284;0.3916858192445777
ARAUCA;2025;4.352004815540367;3.477642762208079;1.673518782658807;1.7418585562180384;6.368438764075525;6.256956041057185;3.306152077038247;4.6149018853855805;3.788915424587743;3.6277006870645288;3.5061448809186246;7.914654584829531;0.38769890638458593
ARMENIA;2019;5.415023257966163;5.2733897034095625;4.383152814020789;3.715104000123028;7.4893053177174265;7.305763838899737;4.862283846747703;5.306024037201977;4.87020571737027;3.4669120966447293;4.49994551280197;4.599134467113783;3.4169303126924024
ARMENIA;2020;5.377085280736354;5.124824608316619;4.523794836496618;3.715104000123028;7.245675750992393;7.275385736947411;4.914717788367633;5.215294554977829;5.074706028561902;3.811600572365255;4.537168447391538;4.885313153821171;4.0194301656083065
ARMENIA;2021;5.310640782035025;4.47488406483402;4.816976195960178;3.631970552682132;6.843949713342737;7.42413410556642;5.319834972887416;5.093028703351859;4.257985479016179;4.235182179662887;4.603778836950264;5.155127506878797;4.182582337941507
ARMENIA;2022;4.9353171672564535;4.558715560383879;5.258872069409676;3.326294364348022;6.4405008821567575;7.047225932783984;5.576594371504297;5.498725374910734;5.817831220470795;4.414997379810626;4.575431431740743;5.461904837977492;4.2843273528423955
ARMENIA;2023;5.614942180273078;4.3337428555411535;5.916609886507633;3.392577403551433;6.6637210374304825;7.4441229922004375;5.767083069214434;6.101747105084687;6.631817854002142;4.726147297612494;5.12278209257389;4.709790637802693;4.757540865159152
ARMENIA;2024;5.660226839160724;4.566331226494137;5.898849971791023;3.5031987351272753;6.931495226510301;7.862052967831179;5.647744270148677;4.744309394876724;6.129825479421713;4.814876353292227;5.155299419556131;4.9709403100158776;4.862093103220851
ARMENIA;2025;6.408572732906206;4.150510750845358;6.004628790532644;3.3023462956944734;6.704603154135431;8.042457647997656;5.608010135064781;5.502141847701686;6.227811730462346;5.281225607043316;4.87395440050211;5.551663465170068;4.889891341103175
BARRANQUILLA;2019;5.762819894047349;5.550929234230165;4.352360784597629;3.1907718060817993;7.149629101141665;6.140664996686038;4.396125507046806;6.687060655150667;5.261990688951418;3.964547397591959;6.373452633052126;9.650377674117172;2.916355240667345
BARRANQUILLA;2020;5.989375249617199;5.422189687711669;4.47191989833459;3.1907718060817993;6.673840934171814;6.164252480328769;4.489294676344331;6.629828470840282;5.2322157380525045;3.8186569429161676;6.40594115960281;9.395059847718361;3.299285197965932
BARRANQUILLA;2021;5.832549768383373;5.127801217705821;4.55211389144278;3.3462781783680957;6.62206589206272;6.170764323875606;4.597835346608525;6.361864084390376;3.9250390744653973;4.099364062098915;6.4538018397372054;9.405567104335537;3.1211913195700824
BARRANQUILLA;2022;6.175719321381151;5.196642246386646;4.832819982449577;3.714673511385862;6.42967549771488;6.156967839036139;4.609859762351165;6.980874100085453;4.6244976131518944;4.349894151649823;6.454057904290118;9.387728135252502;3.5353187238210126
BARRANQUILLA;2023;6.195346713765414;4.817731514761149;5.1673018948977445;4.040908018942732;6.820889356053096;6.275317783656309;4.947715028358258;6.5724826022542215;5.02635214593195;4.5080465023102425;6.904366405038742;9.236586849004112;3.494267235966539
BARRANQUILLA;2024;6.081406519602454;4.564055488784891;4.9994418857352185;4.399127201877809;6.982729352835553;6.56665142040665;5.004854166353816;6.498057761318332;5.495706929802557;4.493199344885425;7.116202725750327;8.846136957152972;3.3856517899625804
BARRANQUILLA;2025;6.858814051911376;4.450025382817887;5.58523073353641;4.122185512285507;7.055059671772902;6.677943323224904;4.968491432275824;6.434080856566444;5.728658487987486;4.870976273429271;6.844248255374561;8.894669398512434;3.177949290287688
BOGOTÁ D.C.;2019;7.039418107548613;6.769352802042845;6.2414785074947945;5.275026071168449;7.917950413911169;7.140130183558105;5.32619257594547;9.487372143366164;7.155764572225397;5.883568665029597;7.708187069333072;9.394853840009379;5.501249475110145
BOGOTÁ D.C.;2020;7.093940722399447;6.645642266455761;6.361750867663297;5.275026071168449;8.03640153069772;7.103437447124605;5.467827211818038;8.002946924772264;6.996217041056351;5.732930917397128;7.805699019016118;9.492091871675209;5.74946893067378
BOGOTÁ D.C.;2021;7.138959418348198;5.877206169479356;6.4608965605312445;6.180604065363297;7.855885622777876;7.176451036476936;5.131666681902155;8.622360073713399;5.341366850469069;5.746448964540475;7.954479600313588;9.307324338050996;5.418105202275843
BOGOTÁ D.C.;2022;6.831628124736241;6.212855869710908;7.278107554652982;6.69173714456551;7.34749840538368;7.304750292917904;5.625592370785924;9.230978434675492;6.956607414995807;5.952910157056034;7.9991950290118305;9.221846980023031;5.556243342974289
BOGOTÁ D.C.;2023;6.966753157535859;6.189550879723767;7.904217453972011;6.737172772934008;7.1592631698127285;7.246247626626358;6.1620393847401775;8.533659766609958;7.519560025588023;6.622267749061466;8.325288175395912;9.128159990893835;5.609219571489471
BOGOTÁ D.C.;2024;7.585718070775249;5.866047062044935;8.47486973504245;6.536335549611908;6.988062109777914;7.164330484569147;6.685998844811914;8.434141008026689;7.524614012124026;6.668789648126301;8.60658512970283;9.281941142646774;5.420505127341528
BOGOTÁ D.C.;2025;8.152488549584774;5.827245877136447;8.95119228298164;6.5539713531403265;8.140914609114418;7.302982001222331;6.8174353434516854;7.887485612957312;7.413480610757653;7.166332786405518;8.437068133774796;9.2147017782222;5.214171176943864
BUCARAMANGA AM;2019;6.124599889138657;5.109641144013567;5.391369840027307;4.051740320530282;7.164242470552758;7.669973589741053;5.292505060473624;6.015836103238245;6.084202897183701;4.494417118370438;5.51720992340043;7.753860331613735;3.1535258969334814
BUCARAMANGA AM;2020;6.077733685453913;4.9657372929932535;5.372262811410082;4.051740320530282;6.876621610560601;7.7215776663459135;5.270358452478384;6.033501599111933;6.354811779263134;4.214891952950185;5.57176556542097;7.945610935733159;3.660330247881567
BUCARAMANGA AM;2021;6.137552430861156;4.626411986809313;5.418251768040758;4.493528747416107;6.792050484807631;7.753962433337842;5.17817527462137;5.877616685690747;4.517362197813613;4.2085644476528685;5.663554853428883;8.442167335451982;3.9545765551903846
BUCARAMANGA AM;2022;6.221523109510164;5.040327560807887;5.512367663232282;4.125571883621191;6.390174458384149;7.352423201483216;5.81516436573028;6.169475790935382;6.065791294044434;4.370838664845121;5.5649871858211135;8.227577066570644;4.829814729398896
BUCARAMANGA AM;2023;6.571678806640209;4.620476660399056;6.04989704808557;4.244152262794396;6.726906040949086;7.606804010864928;5.778150463067359;6.100059380466161;6.868064626323349;4.692583042626538;6.394406579945181;8.95991238081322;4.584074693457822
