nombre_entidad;anio;Actividades artísticas, entretenimiento, recreación y otras actividades de servicios;Actividades financieras y de seguros;Actividades inmobiliarias;Actividades profesionales, científicas, técnicas y servicios administrativos;Administración pública y defensa, educación y atención de la salud humana;Agricultura, ganadería, caza, silvicultura y pesca;Alojamiento y servicios de comida;Comercio y reparación de vehículos;Construcción;Explotación de minas y canteras;Industrias manufactureras;Información y comunicaciones;No informa;Población ocupada;Suministro de electricidad gas, agua y gestión de desechos;Transporte y almacenamiento
BARRANQUILLA;2015;84.63066666666667;11.718333333333334;9.697666666666665;53.169999999999995;91.407;2.1556666666666664;57.294333333333334;187.904;63.518;1.0983333333333334;119.658;16.132333333333335;0.0;778.183;9.483666666666666;70.31466666666667
BARRANQUILLA;2016;82.67633333333333;14.766;9.833666666666668;63.013;102.94466666666666;1.5096666666666667;60.43800000000001;186.104;65.37933333333334;1.0463333333333333;116.34666666666668;16.395999999999997;0.0;799.1959999999999;11.958;66.784
BARRANQUILLA;2017;86.702;15.905000000000001;10.664666666666667;57.65433333333334;99.306;2.5773333333333333;57.81766666666667;177.46266666666668;75.56700000000001;1.1653333333333336;101.00099999999999;14.452999999999998;0.0;786.5476666666667;9.731;76.54133333333334
BARRANQUILLA;2018;89.47033333333333;18.752333333333336;9.628333333333334;56.40833333333333;106.123;3.0573333333333337;57.810333333333325;186.09433333333334;61.73066666666667;0.6596666666666667;118.43166666666666;18.395333333333333;0.0;807.3676666666667;7.812333333333334;72.99533333333333
BARRANQUILLA;2019;101.044;12.431666666666667;10.421666666666667;60.288333333333334;100.44166666666666;2.8640000000000003;71.228;193.97299999999998;66.094;1.0030000000000001;109.13333333333333;12.756666666666666;0.0;832.6199999999999;9.967333333333334;80.97333333333331
BARRANQUILLA;2020;75.64433333333334;13.505;9.599333333333334;54.70466666666667;85.18133333333333;3.8383333333333334;66.38066666666667;187.83;68.67466666666667;0.25233333333333335;99.15466666666667;11.642666666666665;0.0;766.3376666666667;13.491;76.43866666666666
BARRANQUILLA;2021;83.93082799999999;13.876688;8.214497666666666;76.061044;111.92332433333333;4.913719;64.87296766666667;201.26975666666667;71.03641233333333;1.4450990000000001;80.99038266666666;16.300568;2.7887326666666667;835.3059206666667;13.546550333333334;84.13535033333334
BARRANQUILLA;2022;112.223;15.079;16.691666666666666;75.37333333333333;101.82033333333334;4.270333333333333;74.392;212.308;69.568;1.175;104.949;19.671666666666667;0.0;910.0273333333333;17.014;85.49033333333334
BARRANQUILLA;2023;100.04415955792943;17.64122972870826;14.90344450386209;83.80766847101883;106.13214011097327;4.841874701564384;81.07813401263579;211.43156111745924;71.1054283421683;1.6067942633243262;111.72602793736105;18.490670930896336;0.0;933.1272515150218;13.334166915066092;96.98395092205274
BARRANQUILLA;2024;115.24562044731316;18.571642166250452;14.061857606544722;80.60287451230874;119.7759795096181;6.006629323151809;81.10695179771969;196.99838439659692;76.50001898640622;1.2807060570945084;99.96148651118268;13.469433680304839;0.0;933.7501877891038;23.28887808250849;86.87972471210604
BARRANQUILLA;2025;110.06448740973724;16.191787408718604;14.131132267051752;78.2789832166023;118.3085093195574;3.077973652158321;81.37258432599627;205.81853280418355;70.21526565293689;0.0;126.63831369144967;16.496547355172073;0.0;960.8563783480591;20.476726463444432;99.78553478105052
CARTAGENA DE INDIAS;2015;42.01266666666667;3.5563333333333333;3.923666666666667;25.767333333333337;47.784;1.989;34.09666666666667;87.29899999999999;35.278666666666666;1.4166666666666667;39.385;9.365333333333332;0.17433333333333334;384.484;5.044333333333333;47.38966666666666
CARTAGENA DE INDIAS;2016;46.02433333333334;4.601999999999999;2.9120000000000004;26.44066666666667;50.829;2.048666666666667;38.803666666666665;82.25999999999999;35.949999999999996;2.4326666666666665;40.36933333333334;6.951333333333333;0.0;388.8166666666666;3.982666666666667;45.209333333333326
CARTAGENA DE INDIAS;2017;41.428;3.661;3.829333333333333;33.76533333333334;46.43666666666667;1.0786666666666667;39.806000000000004;89.06666666666666;33.70433333333333;0.972;39.24;5.9816666666666665;0.0;395.04299999999995;5.557333333333333;50.51566666666667
CARTAGENA DE INDIAS;2018;44.561;4.469;6.728999999999999;28.529666666666667;59.98499999999999;2.3423333333333334;39.09766666666667;85.31933333333333;30.38233333333333;0.13833333333333334;48.26333333333333;4.9479999999999995;0.12766666666666668;411.01;4.5056666666666665;51.61266666666666
CARTAGENA DE INDIAS;2019;51.06666666666666;3.7433333333333336;5.948;25.552333333333333;57.669333333333334;2.21;55.00133333333333;90.60466666666667;34.93533333333334;0.5733333333333334;40.522;5.282;0.0;435.72666666666663;5.0073333333333325;57.611
CARTAGENA DE INDIAS;2020;45.99733333333334;4.229666666666667;4.594333333333333;28.031000000000002;59.63233333333333;2.857333333333333;45.22333333333333;89.19533333333334;33.247;0.9473333333333332;43.02633333333333;5.819333333333333;0.0;420.17966666666666;5.9959999999999996;51.383
CARTAGENA DE INDIAS;2021;41.387867666666665;3.794567333333333;3.1454876666666665;42.67488133333333;48.093058000000006;2.249397;41.531772;90.12586066666665;32.760447;2.7391366666666666;25.532343666666666;5.947911666666666;1.560608333333307;402.7924679999999;5.847753333333333;55.40137566666667
CARTAGENA DE INDIAS;2022;44.934;4.14;5.586666666666666;44.281;52.71866666666667;2.1620000000000004;38.943999999999996;88.24866666666667;39.14033333333333;2.810333333333334;31.695999999999998;4.306;0.0;420.92233333333337;6.329000000000001;55.626000000000005
CARTAGENA DE INDIAS;2023;46.200886180328816;6.501043629358823;6.434496741614922;34.688486140683864;53.04260096453568;1.5011453274260487;48.27158932884092;83.40938218334752;32.21982989974541;2.091169246077858;28.402151269957084;5.893233994061165;0.0;415.83498516975334;7.529905132321941;59.649065131453135
CARTAGENA DE INDIAS;2024;47.88691296678175;6.5142592688633325;4.909188331172669;32.281577867031885;59.56258245495152;2.0977865158610607;42.12607522290964;77.7218296411108;31.521101585205184;1.9075767997794684;33.32357540299177;4.876698686550099;0.0;405.7312883746185;7.087029347027971;53.91509428438123
CARTAGENA DE INDIAS;2025;51.06574100599441;3.5007403979638183;8.577324261009336;34.60601222128808;50.745774123075215;1.1501273320530807;50.752374367886084;74.58302611721331;34.35258442839622;0.7561548567443198;34.44643179488709;3.9348678111006965;0.0;413.5242762227858;8.087353175444584;56.96576432972873
MONTERÍA;2015;21.44366666666667;3.3813333333333335;1.2856666666666667;8.830666666666666;28.927333333333337;1.6276666666666666;14.752666666666668;48.915;14.169333333333332;0.36600000000000005;18.399666666666665;3.9170000000000003;0.0;183.21533333333332;1.083;16.117333333333335
MONTERÍA;2016;23.953999999999997;3.438333333333333;1.4866666666666666;8.419333333333332;28.475333333333335;2.273;13.936666666666666;42.27133333333333;16.573666666666668;0.8266666666666667;15.525;3.7743333333333333;0.0;177.05166666666665;1.6826666666666668;14.414666666666667
MONTERÍA;2017;23.86466666666667;5.162333333333334;1.5576666666666668;9.091;26.56866666666667;2.021333333333333;17.927666666666667;45.63066666666666;15.216000000000001;0.783;16.063666666666666;2.6846666666666663;0.0;183.80866666666665;1.7136666666666667;15.523666666666665
MONTERÍA;2018;24.496333333333336;3.0076666666666667;1.874666666666667;11.132;28.823666666666668;1.964333333333333;12.957333333333333;46.492;15.064666666666668;0.9356666666666666;18.316;2.8853333333333335;0.0;185.463;1.6753333333333333;15.836666666666668
MONTERÍA;2019;26.552000000000003;3.8649999999999998;1.6239999999999999;10.857333333333335;28.951333333333334;1.5693333333333335;15.900333333333334;41.952;13.404333333333332;0.5736666666666667;16.922333333333334;2.109666666666667;0.0;183.5103333333333;1.4903333333333333;17.73866666666667
MONTERÍA;2020;20.872333333333334;1.9196666666666669;1.343333333333333;7.571333333333333;28.166666666666668;1.9753333333333334;16.884666666666664;45.15;11.731333333333334;0.2783333333333333;14.616333333333332;2.283333333333333;0.0;169.63333333333333;1.4963333333333333;15.343333333333334
MONTERÍA;2021;19.629509333333335;3.2902466666666665;1.2291726666666667;10.627277333333334;28.081492666666666;1.79096;9.542101666666667;37.39772333333333;14.014647333333334;0.735099;10.881713333333332;1.286777;0.31410633333334204;159.09109;2.2300346666666666;18.040228666666668
MONTERÍA;2022;21.166666666666668;2.4773333333333336;1.1086666666666667;12.816333333333333;27.575;1.9189999999999998;12.220999999999998;37.75466666666667;14.063;0.4383333333333333;12.598;1.1289999999999998;0.0;165.1676666666667;2.7680000000000002;17.131666666666668
MONTERÍA;2023;22.985804917673395;3.0459398451801634;1.2381684331262253;14.956487821879392;31.321341525262206;1.562703108472412;16.35573967751199;38.566323883899024;13.607082141836887;0.34012723838744824;11.97985904760609;2.0406771282794596;0.0;179.67203773204514;1.6898524798500736;19.981930483080678
MONTERÍA;2024;24.083471886562357;3.823396140930376;1.1736219046841243;12.312767887323172;36.90540488044173;2.19294370380415;13.160664099386114;41.75372738548189;11.330335631645209;0.4189137405259469;10.5877807719896;3.2212853780098545;0.0;182.06866303243922;2.4978455973516125;18.6065040243028
MONTERÍA;2025;22.78660259281036;3.3388751634794547;1.1557196971660746;13.407587249500903;38.59227440069147;2.11664877920882;14.945957070265058;40.90813285646347;12.530530702821538;0.6735781523533764;13.476924607732217;2.217175904898647;0.0;184.6287276314846;1.9041808974683274;16.574539556624845
RIOHACHA;2015;4.881666666666667;0.5529999999999999;0.22366666666666668;2.0003333333333333;7.893999999999999;0.628;3.9386666666666663;10.939;4.168666666666667;0.9576666666666668;4.115333333333333;0.9173333333333332;0.0;47.059666666666665;0.7823333333333333;5.059333333333334
RIOHACHA;2016;5.137999999999999;0.6619999999999999;0.13999999999999999;2.1503333333333337;8.298666666666668;0.7143333333333333;3.766666666666667;11.358333333333334;3.346666666666667;1.040333333333333;4.409666666666666;0.8069999999999999;0.0;48.24933333333333;0.9176666666666667;5.499666666666667
RIOHACHA;2017;5.2253333333333325;0.6869999999999999;0.20000000000000004;2.4863333333333335;8.980333333333332;0.3893333333333333;4.522333333333333;10.632333333333333;4.421333333333333;0.8876666666666666;3.4306666666666668;1.0633333333333335;0.0;48.943000000000005;0.7416666666666667;5.274666666666667
RIOHACHA;2018;5.056333333333334;0.42300000000000004;0.12133333333333333;1.9600000000000002;9.442666666666666;0.5966666666666667;3.9160000000000004;10.981333333333334;3.457333333333333;1.118;3.156;0.8340000000000001;0.0;48.395;0.7993333333333333;6.533
RIOHACHA;2019;5.878666666666667;0.801;0.25366666666666665;2.9393333333333334;10.042666666666667;0.4443333333333333;5.029333333333333;12.449666666666666;3.5370000000000004;1.008;3.8083333333333336;0.79;0.0;54.73233333333334;0.7203333333333332;7.03
RIOHACHA;2020;5.450666666666667;0.6789999999999999;0.19766666666666666;2.6173333333333333;9.340666666666666;0.549;4.233666666666667;11.204333333333333;3.5683333333333334;0.9790000000000001;3.0933333333333337;0.855;0.0;49.727;1.1403333333333334;5.819666666666667
RIOHACHA;2021;5.350758666666667;1.0529723333333334;0.085791;3.592639333333333;9.731833333333332;0.8612989999999999;4.337553333333333;12.663243333333334;4.373472;0.7119003333333334;2.728622;0.35362066666666675;0.11128099999999233;54.78588233333332;1.3378983333333334;7.492997666666667
RIOHACHA;2022;6.544333333333333;0.604;0.2793333333333333;3.0043333333333333;10.093;0.5626666666666668;3.7516666666666665;10.985999999999999;4.065333333333334;0.8726666666666666;3.4619999999999997;0.36133333333333334;0.0;53.778999999999996;1.4160000000000001;7.776000000000001
RIOHACHA;2023;7.37402583449082;1.0965575377507115;0.15669394989957822;3.627755847255228;10.754017459435225;0.5698093676380586;5.331956137789219;12.905322928319697;3.66034916879125;0.807389478355893;4.142110374761585;0.4671258263703933;0.03827294519969918;58.835789401630244;1.1899446744850888;6.7144578710879514
RIOHACHA;2024;6.6337621128154245;1.0539889080542277;0.34809440993754515;2.7701531038471088;12.300141929584791;0.704953336422568;5.44138145169577;11.410518457677977;4.282908730042598;0.9208467781667378;4.5240931407667375;0.19722176741007033;0.0;59.05983832596792;1.4732366477845598;6.998537551761683
RIOHACHA;2025;7.593369779354962;0.8467069420214962;0.13735391195247584;4.039859698341678;11.766740538893387;0.8492210827635515;5.840795561662241;12.46018860178686;5.365366855870095;1.20672085992189;5.105329641045751;0.7180492358633324;0.0;65.21220231868563;1.4737812654931501;7.808718343714568
SANTA MARTA;2015;18.595333333333333;2.391;2.454333333333333;12.512;26.146666666666665;1.9799999999999998;17.849333333333334;41.85633333333333;17.063333333333333;1.022;15.606;5.132000000000001;0.0;182.21366666666665;1.3316666666666668;18.275000000000002
SANTA MARTA;2016;19.171666666666667;1.237;2.8786666666666663;13.673666666666668;23.853333333333335;2.6573333333333333;18.608999999999998;38.16233333333333;17.636;1.0573333333333335;12.069333333333333;3.4913333333333334;0.0;175.9176666666667;2.2226666666666666;19.197666666666667
SANTA MARTA;2017;18.389666666666667;1.8243333333333334;3.595333333333333;15.806666666666667;22.583333333333332;1.5983333333333334;17.817666666666664;41.15266666666667;21.385999999999996;0.5;14.411333333333333;3.2403333333333335;0.0;184.088;2.4179999999999997;19.364333333333335
