nombre_departamento;nombre_entidad;anio;grupo_edad;hombres;mujeres
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;85-89;16.0;13.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;90-94;7.0;8.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;95-99;6.0;6.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;100+;1.0;2.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;0-4;221.0;249.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;5-9;247.0;252.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;10-14;268.0;239.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;15-19;256.0;219.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;20-24;231.0;221.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;25-29;226.0;247.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;30-34;202.0;239.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;35-39;187.0;224.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;40-44;179.0;203.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;45-49;171.0;192.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;50-54;184.0;207.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2020;55-59;175.0;202.0
