Codigo_DIVIPOLA|Departamento|Sector|Tipo_registro|Año|Estado_dato|Valor_miles_millones_COP|Unidad|Fuente
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2014|Definitivo|81.4122940551848|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2015|Definitivo|95.8404479571471|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2016|Definitivo|108.704072249749|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2017|Definitivo|116.590434226876|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2018|Definitivo|126.041633028107|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2019|Definitivo|129.773923282825|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2020|Definitivo|153.280033568248|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2021|Definitivo|198.844520291349|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2022|Definitivo|242.385005227118|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2023|Definitivo|273.113187263259|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2024|Provisional|307.726576204677|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
91|Amazonas|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2025|Preliminar|335.091315627523|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2005|Definitivo|3481.46981176944|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
