nombre_entidad;anio;pct_pet;fuerza_trabajo;fuerza_trabajo_potencial;desocupados;pet;fuera_fuerza_trabajo;ocupados;subocupados;poblacion_total_geih;tgp;td;to;ts
BARRANQUILLA;2007;71.44892989810502;672.44340608;0.0;62.92892824366667;1123.7223333333334;451.2789272533333;609.5144778333333;41.32577575933333;1572.763;59.84070852141114;9.358248987897737;54.24066602158837;6.145613948427481
BARRANQUILLA;2008;71.79900156413804;675.0193124799999;0.0;69.888844718;1143.2966666666669;468.2773541866666;605.1304677633333;39.71876914833334;1592.3573333333334;59.041483471481584;10.353606693300458;52.928560487070996;5.884093745763779
BARRANQUILLA;2009;72.15017100142613;742.2950126733334;0.0;67.02302110566667;1162.7613333333334;420.46632066;675.2719915633334;48.50854969433334;1611.585;63.83898323703002;9.029162255083333;58.07485785819044;6.534942154552883
BARRANQUILLA;2010;72.50255895618308;743.8069999999999;0.0;69.92266666666667;1181.9526666666668;438.1456666666666;673.8846666666667;68.38499999999999;1630.2219999999998;62.93035423302341;9.400646493870948;57.014522296155114;9.193917239283847
BARRANQUILLA;2011;72.86075517202183;770.7453333333333;0.0;63.400000000000006;1200.7933333333333;430.048;707.346;94.37933333333332;1648.066;64.18634347292624;8.225803940428229;58.9065562211649;12.245203344295305
BARRANQUILLA;2012;73.23354657309258;786.8406666666666;0.0;68.93633333333332;1219.6446666666668;432.8039999999999;717.9046666666667;77.10066666666667;1665.418;64.51392673385197;8.761155371566119;58.8617887067654;9.798764849469736
BARRANQUILLA;2013;73.62345295147924;783.1046666666666;0.0;63.99966666666668;1238.7776666666666;455.673;719.1053333333333;58.308;1682.5856666666666;63.21591741106085;8.172555903553125;58.04958812894323;7.44574799281833
BARRANQUILLA;2014;74.02294751798757;828.2959999999999;0.0;63.94833333333333;1257.9563333333333;429.6603333333333;764.3476666666666;107.96233333333333;1699.414;65.84457489117932;7.720468689132066;60.761065103213696;13.034269552591507
BARRANQUILLA;2015;74.42751311709705;854.3926666666666;0.0;76.21033333333334;1279.175;424.7823333333333;778.183;116.359;1718.6856666666665;66.79247692197445;8.9198253106105;60.83475677682881;13.618913707904795
BARRANQUILLA;2016;74.81935478565181;864.7693333333333;0.0;65.57333333333334;1304.0063333333335;439.237;799.1959999999999;85.33699999999999;1742.8730000000003;66.31634457808102;7.582754245062653;61.28773914441621;9.868180647787387
BARRANQUILLA;2017;75.1764473790659;853.382;0.0;66.83466666666666;1335.0106666666668;481.6286666666667;786.5476666666667;95.935;1775.8363333333334;63.923234570909784;7.8317408460298745;58.91695746750587;11.241741681919704
BARRANQUILLA;2018;75.49445192315032;887.6336666666666;0.0;80.26633333333332;1384.454;496.82033333333334;807.3676666666667;105.78566666666666;1833.8486666666668;64.11434880947048;9.042731967880142;58.316684170558695;11.917716805844453
BARRANQUILLA;2019;75.78243736971638;908.3560000000001;0.0;75.73633333333333;1442.1850000000002;533.8290000000001;832.6199999999999;123.08566666666665;1903.0596666666668;62.98470723242857;8.337736893171105;57.73323117353182;13.550377458470757
BARRANQUILLA;2020;76.06739842266134;883.1616666666667;0.0;116.82433333333334;1484.756;601.5943333333333;766.3376666666667;128.02466666666666;1951.8953333333332;59.48193956897071;13.227966944519407;51.613710715206174;14.496175671875852
BARRANQUILLA;2021;76.3671765967965;968.0619999999999;44.87166666666667;132.756;1513.9080000000001;545.846;835.3059999999999;141.54666666666665;1982.4066666666668;63.94457258961573;13.713584460499431;55.175479619633414;14.621653020846463
BARRANQUILLA;2022;76.63173208073924;1024.2456666666667;82.82600000000001;114.21833333333332;1536.0406666666668;511.795;910.0273333333333;132.556;2004.4446666666665;66.68089516727204;11.151458780884923;59.24500262796861;12.941817018508257
BARRANQUILLA;2023;77.00525638313832;1019.4742354157369;92.28739481462837;86.34698390071588;1560.6003333333258;541.1260979175966;933.1272515150218;98.59998387737464;2026.6153333333327;65.32577327073973;8.469756360787674;59.792839433907574;9.671650391161284
BARRANQUILLA;2024;77.47905080798724;1038.120861375329;87.16492812138048;104.37067358622285;1586.3476666666613;548.2268052913358;933.7501877891038;99.56201089934062;2047.453666666663;65.44094230974584;10.053807554541379;58.86163590804539;9.590599187789978
BARRANQUILLA;2025;77.81605656325993;1052.6726024329394;79.08465663282416;91.81622408488106;1609.0596666666668;556.387064233726;960.8563783480591;93.60203742064438;2067.7733333333263;65.42160146327322;8.722201363716998;59.71539764827817;8.891847019131223
CARTAGENA DE INDIAS;2007;70.58425457871446;354.19109135;0.0;43.23352954333333;558.7176666666667;204.52657531666668;310.95756181;37.07633038133333;791.5613333333334;63.3935729047408;12.206272432925585;55.65558069161944;10.467889025671658
CARTAGENA DE INDIAS;2008;70.9506547606412;322.86017347;0.0;35.57756360033333;568.192;245.33182653000003;287.28260987;24.263114634333334;800.8269999999999;56.82237227380885;11.01949590683695;50.560833286987496;7.515053459075172
CARTAGENA DE INDIAS;2009;71.28774417262227;349.2038874433333;0.0;47.21491865366667;578.3776666666666;229.17377922333333;301.98896879;51.90153462000001;811.3283333333333;60.376447357637716;13.520731111943427;52.21311025552509;14.862816963463008
CARTAGENA DE INDIAS;2010;71.58797751692016;347.58733333333333;0.0;29.74066666666667;585.7013333333333;238.114;317.8466666666667;38.72833333333333;818.156;59.345491217366764;8.556314863794423;54.2677041313434;11.142043917979366
CARTAGENA DE INDIAS;2011;71.84848046578632;391.4506666666666;0.0;36.38133333333333;592.8213333333333;201.37066666666666;355.06933333333336;22.58966666666667;825.0993333333334;66.03181172067582;9.293976593048763;59.89483059539018;5.7707569791680875
CARTAGENA DE INDIAS;2012;72.11252033902178;392.85266666666666;0.0;34.44866666666667;599.6370000000001;206.7843333333333;358.40366666666665;22.755666666666666;831.5296666666667;65.51508106849087;8.768851426913228;59.77010535818614;5.79241751360561
CARTAGENA DE INDIAS;2013;72.42916577802254;402.50066666666663;0.0;36.592666666666666;606.7613333333334;204.26066666666665;365.90799999999996;31.95933333333333;837.7306666666667;66.33591241806222;9.091330697588909;60.30509524887324;7.940193887877618
CARTAGENA DE INDIAS;2014;72.77925934941071;421.87466666666666;0.0;31.240666666666666;613.9466666666667;192.072;390.634;32.248;843.5736666666667;68.71519784563263;7.405200912751339;63.626699387568955;7.643976410055435
CARTAGENA DE INDIAS;2015;73.18050953380649;416.7093333333334;0.0;32.22533333333333;621.9906666666667;205.28133333333335;384.484;28.252333333333336;849.9403333333333;66.99607496789878;7.7332881112974015;61.81507546737035;6.779865741748045
CARTAGENA DE INDIAS;2016;73.45042450635563;424.7726666666667;0.0;35.955999999999996;629.8993333333333;205.12666666666667;388.8166666666666;16.572;857.5843333333333;67.4350081335748;8.4647631125041;61.7267944401698;3.9013809739798067
CARTAGENA DE INDIAS;2017;74.19639670032458;420.296;0.0;25.253;643.6683333333334;223.37233333333333;395.04299999999995;16.205000000000002;867.5196666666666;65.2969826592888;6.0083845670670195;61.37368883042767;3.8556160420275236
CARTAGENA DE INDIAS;2018;75.23293230509704;452.7046666666667;0.0;41.69433333333333;665.3966666666666;212.692;411.01;34.564;884.4486666666667;68.03530726033094;9.210051586243864;61.76917026936314;7.634999712837066
CARTAGENA DE INDIAS;2019;75.45343224412801;462.5353333333333;0.0;26.808666666666667;682.5243333333333;219.989;435.72666666666663;18.57766666666667;904.5636666666666;67.76832865055361;5.796025672993632;63.84045892380882;4.016485947740209
